"Rank","unitid","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
1041,"484631","","","",""
1042,"102377","","","",""
1043,"227386","","","",""
1044,"462318","","","",""
1045,"112570","","","",""
1046,"195304","","","",""
1047,"204440","","","",""
1048,"461795","","","",""
1049,"236504","","","",""
1050,"180416","","","",""
1051,"155900","","","",""
1052,"124113","","","",""
1053,"146506","","","",""
1054,"446224","","","",""
1055,"461883","","","",""
1056,"168421","","","",""
1057,"155618","","","",""
1058,"418199","","","",""
1059,"366252","","","",""
1060,"190044","","","",""
1061,"117575","","","",""
1062,"440420","","","",""
1063,"468015","","","",""
1064,"485351","","","",""
1065,"380465","","","",""
1066,"113537","","","",""
1067,"187967","","","",""
1068,"166045","","","",""
1069,"214643","","","",""
1070,"451644","","","",""
1071,"133881","","","",""
1072,"247825","","","",""
1073,"171881","","","",""
1074,"186867","","","",""
1075,"196112","","","",""
1076,"460075","","","",""
1077,"110060","","","",""
1078,"136826","","","",""
1079,"143048","","","",""
1080,"161457","","","",""
1081,"451705","","","",""
1082,"164438","","","",""
1083,"369419","","","",""
1084,"164368","","","",""
1085,"109086","","","",""
1086,"170675","","","",""
1087,"407522","","","",""
1088,"440721","","","",""
1089,"190707","","","",""
1090,"446385","","","",""
1091,"233480","","","",""
1092,"453297","","","",""
1093,"488819","","","",""
1094,"148016","","","",""
1095,"364122","","","",""
1096,"490063","","","",""
1097,"170286","","","",""
1098,"212805","","","",""
1099,"439394","","","",""
1100,"484844","","","",""
1101,"481164","","","",""
1102,"490090","","","",""
1103,"490416","","","",""
1104,"247162","","","",""
1105,"145725","","","",""
1106,"193654","","","",""
1107,"483221","","","",""
1108,"163295","","","",""
1109,"491288","","","",""
1110,"454689","","","",""
1111,"440749","","","",""
1112,"460376","","","",""
1113,"486354","","","",""
1114,"142957","","","",""
1115,"154518","","","",""
1116,"483780","","","",""
1117,"173966","","","",""
1118,"171128","","","",""
1119,"480499","","","",""
1120,"443049","","","",""
1121,"488730","","","",""
1122,"194392","","","",""
1123,"135267","","","",""
1124,"461245","","","",""
1125,"491303","","","",""
1126,"486053","","","",""
1127,"441210","","","",""
1128,"172325","","","",""
1129,"482185","","","",""
1130,"194958","","","",""
1131,"178208","","","",""
1132,"130624","","","",""
1133,"157748","","","",""
1134,"486488","","","",""
1135,"439783","","","",""
1136,"409537","","","",""
1137,"458229","","","",""
1138,"155627","","","",""
1139,"239318","","","",""
1140,"211149","","","",""
1141,"481401","","","",""
1142,"194091","","","",""
1143,"191311","","","",""
1144,"475714","","","",""
1145,"439446","","","",""
1146,"160913","","","",""
1147,"490230","","","",""
1148,"420574","","","",""
1149,"155511","","","",""
1150,"461351","","","",""
1151,"485856","","","",""
1152,"219347","","","",""
1153,"459161","","","",""
1154,"443331","","","",""
1155,"458210","","","",""
1156,"104586","","","",""
1157,"462327","","","",""
1158,"178411","","","",""
1159,"451361","","","",""
1160,"443410","","","",""
1161,"393861","","","",""
1162,"185828","","","",""
1163,"430564","","","",""
1164,"488448","","","",""
1165,"201496","","","",""
1166,"447713","","","",""
1167,"221430","","","",""
1168,"160010","","","",""
1169,"459091","","","",""
1170,"446613","","","",""
1171,"207564","","","",""
1172,"221616","","","",""
1173,"185174","","","",""
1174,"491242","","","",""
1175,"102395","","","",""
1176,"172422","","","",""
1177,"128328","","","",""
1178,"488891","","","",""
1179,"216649","","","",""
1180,"488253","","","",""
1181,"217305","","","",""
1182,"112394","","","",""
1183,"439020","","","",""
1184,"475608","","","",""
1185,"375708","","","",""
1186,"119775","","","",""
1187,"106351","","","",""
1188,"138293","","","",""
1189,"482556","","","",""
1190,"206154","","","",""
1191,"367194","","","",""
1192,"475033","","","",""
1193,"488280","","","",""
1194,"191205","","","",""
1195,"212975","","","",""
1196,"459417","","","",""
1197,"219170","","","",""
1198,"134237","","","",""
1199,"221050","","","",""
1200,"414124","","","",""
1201,"213233","","","",""
